All,SourceCountry,SourceCity,SourceAirport,DestCountry,DestCity,DestAirport,AirlineName,Sum of Flights
All Countries,China,Others,Others,China,Others,Yangzhou Taizhou Airport,Shenzhen Airlines,3
All Countries,China,Others,Others,China,Others,Yangzhou Taizhou Airport,Air China,2
All Countries,China,Others,Others,China,Others,Jieyang Chaoshan International Airport,China Southern Airlines,10
All Countries,China,Others,Others,China,Others,Quanzhou Jinjiang International Airport,China Southern Airlines,5
All Countries,China,Others,Others,China,Others,Quanzhou Jinjiang International Airport,Shenzhen Airlines,2
All Countries,China,Others,Others,China,Others,Quanzhou Jinjiang International Airport,Air China,1
All Countries,China,Others,Others,China,Others,Changzhi Airport,Hainan Airlines,4
All Countries,China,Others,Others,China,Others,Changzhi Airport,China Eastern Airlines,2
All Countries,China,Others,Others,China,Others,Changzhi Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Lijiang Airport,China Southern Airlines,2
All Countries,China,Others,Others,China,Others,Lijiang Airport,Shenzhen Airlines,2
All Countries,China,Others,Others,China,Others,Lijiang Airport,China Eastern Airlines,2
All Countries,China,Others,Others,China,Others,Lijiang Airport,Air China,1
All Countries,China,Others,Others,China,Others,Yiwu Airport,China Southern Airlines,7
All Countries,China,Others,Others,China,Others,Tunxi International Airport,China Southern Airlines,5
All Countries,China,Others,Others,China,Others,Tunxi International Airport,China Eastern Airlines,2
All Countries,China,Others,Others,China,Others,Xishuangbanna Gasa Airport,China Eastern Airlines,4
All Countries,China,Others,Others,China,Others,Xishuangbanna Gasa Airport,Shenzhen Airlines,1
All Countries,China,Others,Others,China,Others,Xishuangbanna Gasa Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Kashgar Airport,China Eastern Airlines,2
All Countries,China,Others,Others,China,Others,Kashgar Airport,Shenzhen Airlines,1
All Countries,China,Others,Others,China,Others,Kashgar Airport,Hainan Airlines,1
All Countries,China,Others,Others,China,Others,Kashgar Airport,Air China,1
All Countries,China,Others,Others,China,Others,Kashgar Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Korla Airport,Hainan Airlines,2
All Countries,China,Others,Others,China,Others,Korla Airport,Air China,1
All Countries,China,Others,Others,China,Others,Korla Airport,Shenzhen Airlines,1
All Countries,China,Others,Others,China,Others,Korla Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Korla Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Yancheng Airport,China Southern Airlines,5
All Countries,China,Others,Others,China,Others,Yancheng Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Zhoushan Airport,China Southern Airlines,3
All Countries,China,Others,Others,China,Others,Zhoushan Airport,Shenzhen Airlines,1
All Countries,China,Others,Others,China,Others,Zhoushan Airport,Air China,1
All Countries,China,Others,Others,China,Others,Lhasa Gonggar Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Lhasa Gonggar Airport,Air China,1
All Countries,China,Others,Others,China,Others,Lhasa Gonggar Airport,Shenzhen Airlines,1
All Countries,China,Others,Others,China,Others,Lhasa Gonggar Airport,Air France,1
All Countries,China,Others,Others,China,Others,Lhasa Gonggar Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Hami Airport,China Southern Airlines,2
All Countries,China,Others,Others,China,Others,Hami Airport,Shenzhen Airlines,1
All Countries,China,Others,Others,China,Others,Hami Airport,Air China,1
All Countries,China,Others,Others,China,Others,Hami Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Xuzhou Guanyin Airport,Hainan Airlines,2
All Countries,China,Others,Others,China,Others,Xuzhou Guanyin Airport,China Southern Airlines,2
All Countries,China,Others,Others,China,Others,Lianyungang Airport,China Southern Airlines,2
All Countries,China,Others,Others,China,Others,Lianyungang Airport,China Eastern Airlines,2
All Countries,China,Others,Others,China,Others,Huangyan Luqiao Airport,Shenzhen Airlines,3
All Countries,China,Others,Others,China,Others,Huangyan Luqiao Airport,Air China,1
